,Job info,Skills,location
0,"['Job Function: IT Software : Software Products & Services', 'Industry: Banking', 'Specialization:Data Warehousing', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['data analysis ', 'sql ', 'data science ', 'analyst ', 'data visualization ']",Bengaluru/ Bangalore (Karnataka)
1,"['Job Function: IT Software : Software Products & Services', 'Industry: Banking', 'Specialization:Data Warehousing', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['data analysis ', 'sql ', 'data science ', 'analyst ', 'data visualization ']",Bengaluru/ Bangalore (Karnataka)
2,"['Job Function: IT Software : Software Products & Services', 'Industry: Retailing,  Consumer Durables/FMCG', 'Specialization:Data Warehousing', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['advanced analytics ', 'data analytics ', 'sas ', 'consulting ', 'sql ', 'data science ', 'statistical analysis ']",Bengaluru/ Bangalore (Karnataka)
3,"['Job Function: IT Software : Software Products & Services', 'Industry: Banking', 'Specialization:Database Administration (DBA)', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['sql ', 'data science ', 'use cases ', 'data analytics ', 'information management ', 'sas ', 'domain expert ', 'predictive modeling ', 'analyst ', 'statistical analysis ']","Mumbai (Maharashtra), Chennai (Tamil Nadu), Pune (Maharashtra), Bengaluru/ Bangalore (Karnataka)"
4,"['Job Function: IT Software : Software Products & Services', 'Industry: Research/Surveyor/MR', 'Specialization:Software Engineer', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['data mining ', 'api ', 'machine learning ']",Bengaluru/ Bangalore (Karnataka)
5,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Hardware/Networking,  Telecom', 'Specialization:Data Warehousing', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['data gathering ', 'data models ', 'Develop custom data models ']",Chandigarh (Punjab)
6,"['Job Function: IT Software : Software Products & Services', 'Industry: Others - other Industry', 'Specialization:Software Engineer', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['algorithms ', 'data mining ', 'telematics ', 'machine learning ', 'infrastructure ']",Panjim/ Panaji (Goa)
7,"['Job Function: IT Software : Software Products & Services', 'Industry: Telecom,  IT-Hardware/Networking', 'Specialization:Software Engineer', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['algorithms ', 'python ', 'rdbms ', 'sas ', 'scala ', 'machine learning ', 'big data ']","Hyderabad/ Secunderabad (Andhra Pradesh), Pune (Maharashtra)"
8,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Hardware/Networking,  Telecom', 'Specialization:Software Engineer', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['hive ', 'algorithms ', 'authoring ', 'data mining ', 'sql ', 'pig ', 'd3.js ', 'security ', 'java ', 'big data ', 'mongodb ', 'hbase ', 'python ', 'machine learning ', 'nosql ', 'cassandra ']",Mumbai (Maharashtra)
9,"['Job Function: IT Software : Software Products & Services', 'Industry: Financial Services/Stockbroking,  Banking', 'Specialization:Database Administration (DBA)', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['ds ', 'big data ', 'python ', 'impala ', 'hive ', 'algorithms ', 'data mining ', 'bi ', 'security ', 'hadoop ', 'machine learning ', 'project delivery ']",United States of America (USA) (United States Of America (usa))
10,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Hardware/Networking,  Telecom', 'Specialization:Software Engineer', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['python ', 'apache ', 'machine learning ']","Mumbai (Maharashtra), Bengaluru/ Bangalore (Karnataka)"
11,"['Job Function: IT Software : Software Products & Services', 'Industry: Software Services,  Internet/Dot com/ISP', 'Specialization:Application Programming', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['application design ', 'enterprise applications ', 'coding ', 'project delivery ']",Bengaluru/ Bangalore (Karnataka)
12,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Software Engineer', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['algorithms ', 'python ', 'machine learning ']",Bengaluru/ Bangalore (Karnataka)
13,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Hardware/Networking,  Telecom', 'Specialization:Software Engineer', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['python ', 'apache ', 'machine learning ']","Mumbai (Maharashtra), Bengaluru/ Bangalore (Karnataka)"
14,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Hardware/Networking,  Telecom', 'Specialization:Data Warehousing', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['Python ', 'PySpark ', 'MLib ', 'Spark ']","Mumbai (Maharashtra), Bengaluru/ Bangalore (Karnataka)"
15,"['Job Function: Accounting/Tax/Company Secretary/Audit,Marketing/MR/Media Planning', 'Industry: Accounting-Tax/Consulting,  Educational/Training', 'Specialization:MM Consultant,MM Consultant', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
16,"['Job Function: Teaching/Education,IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:internship,Training,internship', 'Role:               Intern', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
17,"['Job Function: Teaching/Education,IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:internship,Training,internship', 'Role:               Intern', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
18,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,data science', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Dhule (Maharashtra), Jalgaon (Maharashtra), Kolhapur (Maharashtra), Solapur (Maharashtra)"
19,"['Job Function: Teaching/Education,IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:internship,Training,internship', 'Role:               Intern', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
20,"['Job Function: Teaching/Education,IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:internship,Training,internship', 'Role:               Intern', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
21,"['Job Function: Teaching/Education,IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:internship,Training,internship', 'Role:               Intern', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
22,"['Job Function: Teaching/Education,IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:internship,Training,internship', 'Role:               Intern', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
23,"['Job Function: Teaching/Education,IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:internship,Training,internship', 'Role:               Intern', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
24,"['Job Function: Teaching/Education,IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:internship,Training,internship', 'Role:               Intern', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
25,"['Job Function: Accounting/Tax/Company Secretary/Audit,Marketing/MR/Media Planning', 'Industry: Accounting-Tax/Consulting,  Educational/Training', 'Specialization:MM Consultant,MM Consultant', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
26,"['Job Function: Teaching/Education,IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:internship,Training,internship', 'Role:               Intern', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
27,"['Job Function: Teaching/Education,IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:internship,Training,internship', 'Role:               Intern', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
28,"['Hiring Location: Pune', 'Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Internet/E-commerce,Mobile,internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Ahmedabad (Gujarat), Mehsana (Gujarat), Rajkot (Gujarat), Jaipur (Rajasthan), Udaipur (Rajasthan)"
29,"['Job Function: Accounting/Tax/Company Secretary/Audit,Marketing/MR/Media Planning', 'Industry: Accounting-Tax/Consulting,  Educational/Training', 'Specialization:MM Consultant,MM Consultant', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
30,"['Hiring Location: Pune', 'Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Internet/E-commerce,Mobile,internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Ahmedabad (Gujarat), Mehsana (Gujarat), Rajkot (Gujarat), Jaipur (Rajasthan), Udaipur (Rajasthan)"
31,"['Job Function: Teaching/Education,IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:internship,Training,internship', 'Role:               Intern', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
32,"['Job Function: Teaching/Education,IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:internship,Training,internship', 'Role:               Intern', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
33,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,Ml internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Amravati (Maharashtra), Aurangabad (Maharashtra), Sangli (Maharashtra), Satara (Maharashtra)"
34,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,Ml internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Amravati (Maharashtra), Aurangabad (Maharashtra), Sangli (Maharashtra), Satara (Maharashtra)"
35,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Dhule (Maharashtra), Jalgaon (Maharashtra), Kolhapur (Maharashtra), Solapur (Maharashtra)"
36,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Dhule (Maharashtra), Jalgaon (Maharashtra), Kolhapur (Maharashtra), Solapur (Maharashtra)"
37,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,Ml internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Amravati (Maharashtra), Aurangabad (Maharashtra), Sangli (Maharashtra), Satara (Maharashtra)"
38,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Dhule (Maharashtra), Jalgaon (Maharashtra), Kolhapur (Maharashtra), Solapur (Maharashtra)"
39,"['Job Function: Teaching/Education,IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:internship,Training,internship', 'Role:               Intern', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
40,"['Job Function: Teaching/Education,IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:internship,Training,internship', 'Role:               Intern', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
41,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Dhule (Maharashtra), Jalgaon (Maharashtra), Kolhapur (Maharashtra), Solapur (Maharashtra)"
42,"['Job Function: Teaching/Education,IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:internship,Training,internship', 'Role:               Intern', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
43,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,Ml internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Amravati (Maharashtra), Aurangabad (Maharashtra), Sangli (Maharashtra), Satara (Maharashtra)"
44,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Dhule (Maharashtra), Jalgaon (Maharashtra), Kolhapur (Maharashtra), Solapur (Maharashtra)"
45,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Dhule (Maharashtra), Jalgaon (Maharashtra), Kolhapur (Maharashtra), Solapur (Maharashtra)"
46,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Amravati (Maharashtra), Aurangabad (Maharashtra), Sangli (Maharashtra), Satara (Maharashtra)"
47,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Amravati (Maharashtra), Aurangabad (Maharashtra), Sangli (Maharashtra), Satara (Maharashtra)"
48,"['Job Function: Teaching/Education,IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:internship,Training,internship', 'Role:               Intern', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
49,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Dhule (Maharashtra), Jalgaon (Maharashtra), Kolhapur (Maharashtra), Solapur (Maharashtra)"
50,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Dhule (Maharashtra), Jalgaon (Maharashtra), Kolhapur (Maharashtra), Solapur (Maharashtra)"
51,"['Job Function: Teaching/Education,IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:internship,Training,internship', 'Role:               Intern', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Mumbai (Maharashtra), Dombivali (Maharashtra), Kalyan (Maharashtra), Navi Mumbai (Maharashtra), Thane (Maharashtra)"
52,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Amravati (Maharashtra), Aurangabad (Maharashtra), Sangli (Maharashtra), Satara (Maharashtra)"
53,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Amravati (Maharashtra), Aurangabad (Maharashtra), Sangli (Maharashtra), Satara (Maharashtra)"
54,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming,Internet/E-commerce,internship', 'Role:               Intern, Fresher', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Intern']",['. '],"Pune (Maharashtra), Dhule (Maharashtra), Jalgaon (Maharashtra), Kolhapur (Maharashtra), Solapur (Maharashtra)"
55,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Business/Systems Analysis', 'Role:               Configuration/ Release Manager, Database Administrator (DBA), Database Architect/ Designer, Delivery Manager/ Head', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['python ', 'Data Analysis ', 'data science ']","Bengaluru/ Bangalore (Karnataka), Chennai (Tamil Nadu), Hyderabad/ Secunderabad (Andhra Pradesh), Mumbai (Maharashtra), Pune (Maharashtra)"
56,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software', 'Specialization:Application Programming', 'Role:               Database Administrator (DBA)', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['software ', 'c++ ', 'Java ', 'Html ']","Bengaluru/ Bangalore (Karnataka), Chennai (Tamil Nadu), Hyderabad/ Secunderabad (Andhra Pradesh), Mumbai (Maharashtra), Pune (Maharashtra)"
57,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software,  Software Services', 'Specialization:Database Administration (DBA),Network Administration,System Administration,Training', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['r ', 'data analysis ', 'logistic regression ', 'sql ', 'data science ', 'python ', 'machine learning ', 'big data ', 'open source ', 'Big Data Analytics ', 'Business Analytics ', 'Business Intelligence ']","Ahmedabad (Gujarat), Bengaluru/ Bangalore (Karnataka), Chennai (Tamil Nadu), Delhi (Delhi), Delhi/ NCR (Delhi)"
58,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software,  Software Services', 'Specialization:Database Administration (DBA),Network Administration,System Administration,Training', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['r ', 'data analysis ', 'logistic regression ', 'sql ', 'data science ', 'python ', 'machine learning ', 'big data ', 'open source ', 'Big Data Analytics ', 'Business Analytics ', 'Business Intelligence ']","Hyderabad/ Secunderabad (Andhra Pradesh), Kolkata (West Bengal), Mumbai (Maharashtra), Pune (Maharashtra), Chandigarh (Punjab)"
59,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Software,  Software Services', 'Specialization:Software Engineer,System Analyst/Tech Architect,DATA SCIENCE', 'Role:               Project Leader/ Project Manager', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['Business Analyst ', 'data science ', 'data analyst ', 'Bi Analytics ', 'Data Exploration ', 'Data Scientist ']",Bengaluru/ Bangalore (Karnataka)
60,"['Job Function: IT Software : Software Products & Services', 'Industry: Financial Services/Stockbroking,  Banking', 'Specialization:Software Engineer', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['data mining ', 'java ', 'mysql ', 'image processing ', 'python ', 'oracle ', 'natural language processing ', 'problem solving ', 'machine learning ']",Gurgaon (Haryana)
61,"['Job Function: IT Software : Software Products & Services', 'Industry: Others - other Industry', 'Specialization:Software Engineer', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['c ', 'authoring ', 'sql ', 'java ', 'data structures ', 'hadoop ', 'big data ', 'python ', 'nosql ', 'cassandra ', 'infrastructure ']","Navi Mumbai (Maharashtra), Mumbai (Maharashtra)"
62,"['Job Function: IT Software : Software Products & Services', 'Industry: Educational/Training,  Research/Surveyor/MR', 'Specialization:Business/Systems Analysis', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['data science ', 'sas ', 'predictive modeling ']",Gurgaon (Haryana)
63,"['Job Function: IT Software : Software Products & Services', 'Industry: Educational/Training,  Research/Surveyor/MR', 'Specialization:Business/Systems Analysis', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['mining ', 'data science ', 'data scientist ', 'data visualization ']",Gurgaon (Haryana)
64,"['Job Function: IT Software : Software Products & Services', 'Industry: Consulting Services', 'Specialization:Data Warehousing', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['Data Platform ', 'Data Science ', 'data engineering ']",Mumbai (Maharashtra)
65,"['Job Function: IT Software : Software Products & Services', 'Industry: IT-Hardware/Networking,  Telecom', 'Specialization:Data Warehousing', 'Qualification:                         Any Graduate', 'Any Graduate', 'Employment Type:               Full Time']","['business requirements ', 'data science ', 'analyst ', 'data scientist ']",Bengaluru/ Bangalore (Karnataka)
